ID,post_author,post_date,post_date_gmt,post_title,post_excerpt,post_status,comment_status,ping_status,post_password,post_name,to_ping,pinged,post_modified,post_modified_gmt,post_content_filtered,post_parent,guid,menu_order,post_type,post_mime_type,comment_count,lead_gen_params,PREFIX
81,35,7/11/19 22:57,7/12/19 2:57,What is Meconium Ileus?,,inherit,closed,closed,,80-autosave-v1,,,7/11/19 22:57,7/12/19 2:57,,80,https://cystic-fibrosis.com/uncategorized/80-autosave-v1/,0,revision,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",cf
82,39,8/16/19 12:46,8/16/19 16:46,The Chronic Cough of Cystic Fibrosis,,publish,closed,closed,,chronic-cough,,,8/16/19 12:46,8/16/19 16:46,,76,https://cystic-fibrosis.com/?page_id=82,0,page,,0,NULL,cf
83,39,8/14/19 13:00,8/14/19 17:00,Lung Infections Associated with Cystic Fibrosis,,publish,closed,closed,,lung-infections,,,8/16/19 12:49,8/16/19 16:49,,76,https://cystic-fibrosis.com/?page_id=83,0,page,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",cf
84,35,7/11/19 23:55,7/12/19 3:55,Lung Infections Associated with Cystic Fibrosis,,inherit,closed,closed,,83-autosave-v1,,,7/11/19 23:55,7/12/19 3:55,,83,https://cystic-fibrosis.com/uncategorized/83-autosave-v1/,0,revision,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",cf
85,39,8/16/19 12:51,8/16/19 16:51,Wheezing and Shortness of Breath with Cystic Fibrosis,,publish,closed,closed,,wheezing,,,8/16/19 12:51,8/16/19 16:51,,76,https://cystic-fibrosis.com/?page_id=85,0,page,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",cf
86,35,7/15/19 12:57,7/15/19 16:57,Wheezing and Shortness of Breath with Cystic Fibrosis,,inherit,closed,closed,,85-autosave-v1,,,7/15/19 12:57,7/15/19 16:57,,85,https://cystic-fibrosis.com/uncategorized/85-autosave-v1/,0,revision,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",cf
87,39,8/16/19 12:53,8/16/19 16:53,Effects of Cystic Fibrosis on Growth and Development,,publish,closed,closed,,malabsorption,,,8/16/19 12:53,8/16/19 16:53,,76,https://cystic-fibrosis.com/?page_id=87,0,page,,0,NULL,cf
88,39,8/2/19 17:53,8/2/19 21:53,"Gastrointestinal Problems: Greasy, Bulky Stools",,publish,closed,closed,,greasy-bulky-stools,,,8/16/19 12:57,8/16/19 16:57,,76,https://cystic-fibrosis.com/?page_id=88,0,page,,0,NULL,cf
89,35,7/13/19 17:51,7/13/19 21:51,"Gastrointestinal Problems: Greasy, Bulky Stools",,inherit,closed,closed,,88-autosave-v1,,,7/13/19 17:51,7/13/19 21:51,,88,https://cystic-fibrosis.com/uncategorized/88-autosave-v1/,0,revision,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",cf
90,39,8/2/19 17:53,8/2/19 21:53,Gastrointestinal Problems: Diarrhea,,publish,closed,closed,,diarrhea,,,8/16/19 13:00,8/16/19 17:00,,76,https://cystic-fibrosis.com/?page_id=90,0,page,,0,NULL,cf
91,35,7/15/19 13:05,7/15/19 17:05,Gastrointestinal Problems: Diarrhea,,inherit,closed,closed,,90-autosave-v1,,,7/15/19 13:05,7/15/19 17:05,,90,https://cystic-fibrosis.com/uncategorized/90-autosave-v1/,0,revision,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",cf
92,39,8/16/19 13:02,8/16/19 17:02,Nasal Polyps and Cystic Fibrosis,,publish,closed,closed,,nasal-polyps,,,8/16/19 13:02,8/16/19 17:02,,76,https://cystic-fibrosis.com/?page_id=92,0,page,,0,NULL,cf
93,35,7/15/19 13:13,7/15/19 17:13,Nasal Polyps and Cystic Fibrosis,,inherit,closed,closed,,92-autosave-v1,,,7/15/19 13:13,7/15/19 17:13,,92,https://cystic-fibrosis.com/uncategorized/92-autosave-v1/,0,revision,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",cf
94,39,8/2/19 17:56,8/2/19 21:56,Chronic Sinus Infections and Cystic Fibrosis,,publish,closed,closed,,sinus-infections,,,8/16/19 13:04,8/16/19 17:04,,76,https://cystic-fibrosis.com/?page_id=94,0,page,,0,NULL,cf
95,35,7/15/19 13:21,7/15/19 17:21,Chronic Sinus Infections and Cystic Fibrosis,,inherit,closed,closed,,94-autosave-v1,,,7/15/19 13:21,7/15/19 17:21,,94,https://cystic-fibrosis.com/uncategorized/94-autosave-v1/,0,revision,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",cf
96,34,7/15/19 14:57,7/15/19 18:57,What are Cystic Fibrosis Exacerbations?,,trash,open,closed,,exacerbations__trashed,,,7/15/19 14:57,7/15/19 18:57,,0,https://cystic-fibrosis.com/?p=96,0,post,,0,NULL,cf
97,39,8/16/19 15:43,8/16/19 19:43,Clubbed Fingers and Toes,,publish,closed,closed,,clubbing-fingers-toes,,,8/16/19 15:43,8/16/19 19:43,,76,https://cystic-fibrosis.com/?page_id=97,0,page,,0,NULL,cf
98,39,7/15/19 15:56,7/15/19 19:56,What are Cystic Fibrosis Exacerbations?,,publish,closed,closed,,exacerbations,,,8/19/19 15:44,8/19/19 19:44,,0,https://cystic-fibrosis.com/?page_id=98,0,page,,0,NULL,cf
99,35,7/15/19 15:10,7/15/19 19:10,Clubbed Fingers and Toes,,inherit,closed,closed,,97-autosave-v1,,,7/15/19 15:10,7/15/19 19:10,,97,https://cystic-fibrosis.com/uncategorized/97-autosave-v1/,0,revision,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",cf
100,39,7/15/19 18:25,7/15/19 22:25,What are Common Complications of Cystic Fibrosis?,,publish,closed,closed,,complications,,,8/16/19 15:47,8/16/19 19:47,,0,https://cystic-fibrosis.com/?page_id=100,0,page,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",cf
101,39,7/15/19 15:56,7/15/19 19:56,What is Bronchiectasis?,,publish,closed,closed,,bronchiectasis,,,8/19/19 15:45,8/19/19 19:45,,0,https://cystic-fibrosis.com/?page_id=101,0,page,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",cf
102,39,8/19/19 10:54,8/19/19 14:54,What are Gastrointestinal Complications of Cystic Fibrosis?,,publish,closed,closed,,gi-complications,,,8/19/19 15:46,8/19/19 19:46,,0,https://cystic-fibrosis.com/?page_id=102,0,page,,0,NULL,cf
103,34,7/15/19 16:05,7/15/19 20:05,What are Gastrointestinal Complications of Cystic Fibrosis?,,inherit,closed,closed,,102-autosave-v1,,,7/15/19 16:05,7/15/19 20:05,,102,https://cystic-fibrosis.com/uncategorized/102-autosave-v1/,0,revision,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",cf
104,39,7/15/19 16:18,7/15/19 20:18,What is GERD?,,publish,closed,closed,,gerd,,,8/18/19 11:46,8/18/19 15:46,,0,https://cystic-fibrosis.com/?page_id=104,0,page,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\""""",cf
105,39,8/2/19 18:17,8/2/19 22:17,Symptoms of Malnutrition with Cystic Fibrosis,,publish,closed,closed,,malnutrition,,,8/18/19 11:44,8/18/19 15:44,,0,https://cystic-fibrosis.com/?page_id=105,0,page,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\""""",cf
106,35,8/6/19 19:27,8/6/19 23:27,What are Common Complications of Cystic Fibrosis?,,inherit,closed,closed,,100-autosave-v1,,,8/6/19 19:27,8/6/19 23:27,,100,https://cystic-fibrosis.com/uncategorized/100-autosave-v1/,0,revision,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",cf
107,39,7/15/19 18:56,7/15/19 22:56,How is Cystic Fibrosis Treated?,,publish,closed,closed,,treatment,,,8/19/19 16:30,8/19/19 20:30,,0,https://cystic-fibrosis.com/?page_id=107,0,page,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\""""",cf
109,39,7/15/19 19:03,7/15/19 23:03,Caring for Someone With Cystic Fibrosis,,publish,closed,closed,,caregivers,,,8/16/19 19:52,8/16/19 23:52,,0,https://cystic-fibrosis.com/?page_id=109,0,page,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\""""",cf
111,39,8/16/19 22:25,8/17/19 2:25,What Medications Are Used to Treat Cystic Fibrosis?,,publish,closed,closed,,medications,,,8/19/19 16:29,8/19/19 20:29,,0,https://cystic-fibrosis.com/?page_id=111,0,page,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\""""",cf
112,35,7/15/19 19:24,7/15/19 23:24,What Medications Are Used to Treat Cystic Fibrosis?,,inherit,closed,closed,,111-autosave-v1,,,7/15/19 19:24,7/15/19 23:24,,111,https://cystic-fibrosis.com/uncategorized/111-autosave-v1/,0,revision,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",cf
113,39,8/2/19 18:33,8/2/19 22:33,Bronchodilators for Cystic Fibrosis,,publish,closed,closed,,bronchodilators,,,8/19/19 16:43,8/19/19 20:43,,107,https://cystic-fibrosis.com/?page_id=113,0,page,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\""""",cf
115,39,8/14/19 9:50,8/14/19 13:50,Types of Mucus Thinners Used to Treat Cystic Fibrosis,,publish,closed,closed,,mucus-thinners,,,8/19/19 16:59,8/19/19 20:59,,107,https://cystic-fibrosis.com/?page_id=115,0,page,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\""""",cf
116,35,8/16/19 22:16,8/17/19 2:16,Types of Mucus Thinners Used to Treat Cystic Fibrosis,,inherit,closed,closed,,115-autosave-v1,,,8/16/19 22:16,8/17/19 2:16,,115,https://cystic-fibrosis.com/uncategorized/115-autosave-v1/,0,revision,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\""""",cf
117,39,8/2/19 18:36,8/2/19 22:36,Types of Antibiotics Used to Treat Cystic Fibrosis Infections,,publish,closed,closed,,antibiotics,,,8/19/19 17:06,8/19/19 21:06,,107,https://cystic-fibrosis.com/?page_id=117,0,page,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\""""",cf
118,39,8/2/19 18:12,8/2/19 22:12,How Does Cystic Fibrosis Affect Growth and Development in Children?,,publish,closed,closed,,poor-growth-children,,,8/18/19 11:39,8/18/19 15:39,,0,https://cystic-fibrosis.com/?page_id=118,0,page,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\""""",cf
119,34,7/17/19 16:42,7/17/19 20:42,How Does Cystic Fibrosis Affect Growth and Development in Children?,,inherit,closed,closed,,118-autosave-v1,,,7/17/19 16:42,7/17/19 20:42,,118,https://cystic-fibrosis.com/uncategorized/118-autosave-v1/,0,revision,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",cf
120,39,8/16/19 23:50,8/17/19 3:50,What is CF-Related Diabetes?,,publish,closed,closed,,cfrd,,,8/16/19 23:50,8/17/19 3:50,,0,https://cystic-fibrosis.com/?page_id=120,0,page,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\""""",cf
121,39,8/2/19 18:21,8/2/19 22:21,How Is the Pancreas Affected by Cystic Fibrosis?,,publish,closed,closed,,pancreas-issues,,,8/16/19 23:34,8/17/19 3:34,,0,https://cystic-fibrosis.com/?page_id=121,0,page,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\""""",cf
