ID,post_author,post_date,post_date_gmt,post_title,post_excerpt,post_status,comment_status,ping_status,post_password,post_name,to_ping,pinged,post_modified,post_modified_gmt,post_content_filtered,post_parent,guid,menu_order,post_type,post_mime_type,comment_count,lead_gen_params,lead_gen_position,PREFIX
35,7,12/17/18 16:14,,Auto Draft,,auto-draft,open,closed,,,,,12/17/18 16:14,,,0,https://maculardegeneration.net/?p=35,0,post,,0,NULL,NULL,macd
36,6,12/17/18 16:14,,Auto Draft,,auto-draft,open,closed,,,,,12/17/18 16:14,,,0,https://maculardegeneration.net/?p=36,0,post,,0,NULL,NULL,macd
37,13,12/28/18 10:16,,Auto Draft,,auto-draft,open,closed,,,,,12/28/18 10:16,,,0,https://maculardegeneration.net/?p=37,0,post,,0,NULL,NULL,macd
38,14,12/28/18 10:20,,Auto Draft,,auto-draft,open,closed,,,,,12/28/18 10:20,,,0,https://maculardegeneration.net/?p=38,0,post,,0,NULL,NULL,macd
39,10,12/28/18 13:43,,Auto Draft,,auto-draft,open,closed,,,,,12/28/18 13:43,,,0,https://maculardegeneration.net/?p=39,0,post,,0,NULL,NULL,macd
40,12,1/2/19 9:17,,Auto Draft,,auto-draft,open,closed,,,,,1/2/19 9:17,,,0,https://maculardegeneration.net/?p=40,0,post,,0,NULL,NULL,macd
41,9,1/2/19 10:15,,Auto Draft,,auto-draft,open,closed,,,,,1/2/19 10:15,,,0,https://maculardegeneration.net/?p=41,0,post,,0,NULL,NULL,macd
42,24,1/3/19 8:55,,Auto Draft,,auto-draft,open,closed,,,,,1/3/19 8:55,,,0,https://maculardegeneration.net/?p=42,0,post,,0,NULL,NULL,macd
43,22,1/3/19 10:27,,Auto Draft,,auto-draft,open,closed,,,,,1/3/19 10:27,,,0,https://maculardegeneration.net/?p=43,0,post,,0,NULL,NULL,macd
57,27,2/5/19 10:54,2/5/19 15:54,What is Age-Related Macular Degeneration (AMD)?,,publish,closed,closed,,amd,,,4/17/19 13:36,4/17/19 17:36,,0,https://maculardegeneration.net/?page_id=57,0,page,,0," showIfLoggedIn=\0\"" campaign=\""short-code\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",0.9832,macd
58,26,1/22/19 9:07,,Auto Draft,,auto-draft,open,closed,,,,,1/22/19 9:07,,,0,https://maculardegeneration.net/?p=58,0,post,,0,NULL,NULL,macd
59,27,1/22/19 9:36,1/22/19 14:36,Community,,publish,closed,closed,,community,,,3/12/19 14:09,3/12/19 18:09,,0,https://maculardegeneration.net/?page_id=59,0,page,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",0.7284,macd
60,3,1/22/19 9:22,,Auto Draft,,auto-draft,closed,closed,,,,,1/22/19 9:22,,,0,https://maculardegeneration.net/?page_id=60,0,page,,0,NULL,NULL,macd
62,27,1/22/19 9:40,1/22/19 14:40,Community Advocates,,publish,closed,closed,,community-advocates,,,6/10/19 10:35,6/10/19 14:35,,0,https://maculardegeneration.net/?page_id=62,0,page,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",0.9771,macd
63,26,4/5/19 14:56,4/5/19 18:56,Community Advocates,,inherit,closed,closed,,62-autosave-v1,,,4/5/19 14:56,4/5/19 18:56,,62,https://maculardegeneration.net/uncategorized/62-autosave-v1/,0,revision,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",0.9747,macd
64,27,1/22/19 9:51,1/22/19 14:51,Theresa Mabe,,publish,closed,closed,,theresa-mabe,,,7/17/19 14:49,7/17/19 18:49,,62,https://maculardegeneration.net/?page_id=64,0,page,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",0.9408,macd
65,26,1/22/19 9:49,1/22/19 14:49,"Mabe, Theresa",,inherit,open,closed,,mabe-theresa,,,1/22/19 9:49,1/22/19 14:49,,64,/wp-content/uploads/2019/01/Mabe-Theresa.jpg,0,attachment,image/jpeg,0,NULL,NULL,macd
66,26,1/22/19 9:51,1/22/19 14:51,Theresa Mabe,,inherit,closed,closed,,64-autosave-v1,,,1/22/19 9:51,1/22/19 14:51,,64,https://maculardegeneration.net/uncategorized/64-autosave-v1/,0,revision,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",0.9401,macd
67,26,1/22/19 9:56,,Auto Draft,,auto-draft,closed,closed,,,,,1/22/19 9:56,,,0,https://maculardegeneration.net/?page_id=67,0,page,,0,NULL,NULL,macd
68,26,1/22/19 9:57,,Auto Draft,,auto-draft,closed,closed,,,,,1/22/19 9:57,,,0,https://maculardegeneration.net/?page_id=68,0,page,,0,NULL,NULL,macd
74,26,1/22/19 10:19,1/22/19 15:19,,,publish,closed,closed,,74,,,6/10/19 10:36,6/10/19 14:36,,0,https://maculardegeneration.net/?p=74,1,nav_menu_item,,0,NULL,NULL,macd
75,26,1/22/19 10:19,1/22/19 15:19,,,publish,closed,closed,,75,,,6/10/19 10:36,6/10/19 14:36,,0,https://maculardegeneration.net/?p=75,6,nav_menu_item,,0,NULL,NULL,macd
76,26,1/22/19 10:19,1/22/19 15:19,,,publish,closed,closed,,76,,,6/10/19 10:36,6/10/19 14:36,,62,https://maculardegeneration.net/?p=76,15,nav_menu_item,,0,NULL,NULL,macd
87,27,1/22/19 14:16,1/22/19 19:16,Len Smith,,publish,closed,closed,,len-smith,,,7/17/19 14:52,7/17/19 18:52,,62,https://maculardegeneration.net/?page_id=87,0,page,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",0.926,macd
88,26,1/22/19 14:13,1/22/19 19:13,Len-Smith-Headshot-1,,inherit,open,closed,,len-smith-headshot-1,,,1/22/19 14:13,1/22/19 19:13,,87,/wp-content/uploads/2019/01/Len-Smith-Headshot-1.jpg,0,attachment,image/jpeg,0,NULL,NULL,macd
89,26,4/12/19 9:30,4/12/19 13:30,Len Smith,,inherit,closed,closed,,87-autosave-v1,,,4/12/19 9:30,4/12/19 13:30,,87,https://maculardegeneration.net/uncategorized/87-autosave-v1/,0,revision,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",0.926,macd
91,27,2/5/19 11:20,2/5/19 16:20,How is AMD Diagnosed?,,publish,closed,closed,,amd-diagnosis,,,3/15/19 14:59,3/15/19 18:59,,0,https://maculardegeneration.net/?page_id=91,0,page,,0," showIfLoggedIn=\0\"" campaign=\""short-code\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",0.9636,macd
92,27,2/11/19 11:59,2/11/19 16:59,Stargardt Disease Treatment,,publish,closed,closed,,stargardt,,,3/15/19 15:39,3/15/19 19:39,,123,https://maculardegeneration.net/?page_id=92,0,page,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",0.9783,macd
93,27,2/5/19 11:18,2/5/19 16:18,How is Stargardt Disease Diagnosed?,,publish,closed,closed,,stargardt-disease-diagnosis,,,3/15/19 15:01,3/15/19 19:01,,0,https://maculardegeneration.net/?page_id=93,0,page,,0," showIfLoggedIn=\0\"" campaign=\""short-code\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",0.972,macd
94,27,2/5/19 11:21,2/5/19 16:21,How is Myopic Macular Degeneration Diagnosed?,,publish,closed,closed,,mmd-diagnosis,,,3/15/19 15:00,3/15/19 19:00,,0,https://maculardegeneration.net/?page_id=94,0,page,,0," showIfLoggedIn=\0\"" campaign=\""short-code\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",0.9597,macd
95,27,2/11/19 11:56,2/11/19 16:56,Myopic Macular Degeneration Treatment,,publish,closed,closed,,myopic,,,3/13/19 17:01,3/13/19 21:01,,123,https://maculardegeneration.net/?page_id=95,0,page,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",0.9801,macd
96,6,3/4/19 9:48,3/4/19 14:48,Stargardt Disease Treatment,,inherit,closed,closed,,92-autosave-v1,,,3/4/19 9:48,3/4/19 14:48,,92,https://maculardegeneration.net/uncategorized/92-autosave-v1/,0,revision,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",0.9783,macd
97,27,2/5/19 11:17,2/5/19 16:17,Testing and Diagnosis,,publish,closed,closed,,diagnosis,,,3/14/19 15:21,3/14/19 19:21,,0,https://maculardegeneration.net/?page_id=97,0,page,,0," showIfLoggedIn=\0\"" campaign=\""short-code\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",0.9671,macd
98,27,2/5/19 11:16,2/5/19 16:16,Falls and Fractures,,publish,closed,closed,,risks-falls-fractures,,,3/15/19 15:11,3/15/19 19:11,,0,https://maculardegeneration.net/?page_id=98,0,page,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",0.9755,macd
99,27,2/5/19 11:01,2/5/19 16:01,Symptoms of Macular Degeneration,,publish,closed,closed,,symptoms,,,3/14/19 15:09,3/14/19 19:09,,0,https://maculardegeneration.net/?page_id=99,0,page,,0," showIfLoggedIn=\0\"" campaign=\""short-code\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",0.9707,macd
100,27,2/5/19 10:59,2/5/19 15:59,Stages of Age-Related Macular Degeneration (AMD),,publish,closed,closed,,amd-stages,,,4/17/19 13:36,4/17/19 17:36,,0,https://maculardegeneration.net/?page_id=100,0,page,,0," showIfLoggedIn=\0\"" campaign=\""short-code\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",0.9835,macd
101,27,2/5/19 11:14,2/5/19 16:14,What is Charles Bonnet Syndrome?,,publish,closed,closed,,visual-hallucinations,,,8/5/19 10:58,8/5/19 14:58,,0,https://maculardegeneration.net/?page_id=101,0,page,,0," showIfLoggedIn=\0\"" campaign=\""short-code\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",0.9742,macd
102,27,1/29/19 8:50,1/29/19 13:50,Editorial Team,,publish,closed,closed,,editoral-team,,,8/7/19 9:30,8/7/19 13:30,,59,https://maculardegeneration.net/?page_id=102,0,page,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",0.9977,macd
104,26,1/29/19 9:13,1/29/19 14:13,,,publish,closed,closed,,104,,,6/10/19 10:36,6/10/19 14:36,,59,https://maculardegeneration.net/?p=104,16,nav_menu_item,,0,NULL,NULL,macd
105,27,2/5/19 11:23,2/5/19 16:23,What is a Dilated Eye Exam?,,publish,closed,closed,,dilated-eye-exam,,,3/13/19 13:34,3/13/19 17:34,,0,https://maculardegeneration.net/?page_id=105,0,page,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",0.9715,macd
107,27,1/30/19 12:33,1/30/19 17:33,Access Denied,,publish,closed,closed,,not-acceptable,,,3/18/19 15:29,3/18/19 19:29,,0,https://maculardegeneration.net/?page_id=107,0,page,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",0.7236,macd
108,32,3/5/19 10:06,3/5/19 15:06,Hi! I'm Sue,,publish,open,closed,,living-amd-risk,,,4/26/19 10:49,4/26/19 14:49,,0,https://maculardegeneration.net/?p=108,0,post,,5," showIfLoggedIn=\0\"" campaign=\""short-code\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",0.9736,macd
109,27,2/28/19 10:32,2/28/19 15:32,What is a Central Scotoma?,,publish,closed,closed,,central-scotoma,,,6/3/19 7:21,6/3/19 11:21,,0,https://maculardegeneration.net/?page_id=109,0,page,,0," showIfLoggedIn=\0\"" campaign=\""short-code\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",0.9699,macd
110,27,2/25/19 9:11,2/25/19 14:11,What is Stargardt Disease?,,publish,closed,closed,,stargardt-disease,,,3/13/19 11:12,3/13/19 15:12,,0,https://maculardegeneration.net/?page_id=110,0,page,,0," showIfLoggedIn=\0\"" campaign=\""short-code\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",0.9811,macd
111,27,2/21/19 7:43,2/21/19 12:43,Distorted Vision (Metamorphopsia),,publish,closed,closed,,distorted-vision,,,5/13/19 16:41,5/13/19 20:41,,0,https://maculardegeneration.net/?page_id=111,0,page,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",0.9807,macd
112,27,2/5/19 16:51,2/5/19 21:51,AREDS and AREDS2 Supplements for Macular Degeneration,,publish,closed,closed,,areds-vs-areds2,,,3/11/19 16:48,3/11/19 20:48,,0,https://maculardegeneration.net/?page_id=112,0,page,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",0.9804,macd
113,27,2/27/19 8:43,2/27/19 13:43,What is Fluorescein Angiography?,,publish,closed,closed,,fluorescein-angiography,,,3/13/19 11:24,3/13/19 15:24,,0,https://maculardegeneration.net/?page_id=113,0,page,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",0.9669,macd
114,27,2/21/19 7:40,2/21/19 12:40,Vision Tests: Visual Acuity Test and Amsler Grid,,publish,closed,closed,,vision-tests,,,5/28/19 11:45,5/28/19 15:45,,0,https://maculardegeneration.net/?page_id=114,0,page,,0," showIfLoggedIn=\0\"" campaign=\""short-code\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",0.9791,macd
115,27,2/11/19 16:10,2/11/19 21:10,Indocyanine Green Angiography,,publish,closed,closed,,indocyanine-green-angiography,,,3/15/19 15:03,3/15/19 19:03,,0,https://maculardegeneration.net/?page_id=115,0,page,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",0.9695,macd
116,27,2/28/19 9:19,2/28/19 14:19,How Do Eyes Work?,,publish,closed,closed,,eye-anatomy-function,,,5/28/19 12:04,5/28/19 16:04,,0,https://maculardegeneration.net/?page_id=116,0,page,,0," showIfLoggedIn=\0\"" campaign=\""short-code\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",0.9729,macd
117,27,2/18/19 11:24,2/18/19 16:24,Types of Macular Degeneration,,publish,closed,closed,,types,,,3/18/19 10:05,3/18/19 14:05,,0,https://maculardegeneration.net/?page_id=117,0,page,,0," showIfLoggedIn=\0\"" campaign=\""short-code\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",0.9781,macd
119,6,1/31/19 16:28,1/31/19 21:28,Indocyanine Green Angiography,,inherit,closed,closed,,115-autosave-v1,,,1/31/19 16:28,1/31/19 21:28,,115,https://maculardegeneration.net/uncategorized/115-autosave-v1/,0,revision,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",0.9679,macd
120,6,3/4/19 11:04,3/4/19 16:04,AREDS and AREDS2 Supplements for Macular Degeneration,,inherit,closed,closed,,112-autosave-v1,,,3/4/19 11:04,3/4/19 16:04,,112,https://maculardegeneration.net/uncategorized/112-autosave-v1/,0,revision,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",0.9802,macd
121,27,2/27/19 15:13,2/27/19 20:13,What is Macular Degeneration?,,publish,closed,closed,,basics,,,3/13/19 11:18,3/13/19 15:18,,0,https://maculardegeneration.net/?page_id=121,0,page,,0," showIfLoggedIn=\0\"" campaign=\""short-code\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",0.9853,macd
122,27,2/6/19 10:52,2/6/19 15:52,Symptoms and Complications of Macular Degeneration,,publish,closed,closed,,symptoms-complications,,,3/14/19 15:08,3/14/19 19:08,,0,https://maculardegeneration.net/?page_id=122,0,page,,0," showIfLoggedIn=\0\"" campaign=\""short-code\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",0.9841,macd
123,27,2/25/19 13:31,2/25/19 18:31,Treatment: Goals of Treatment,,publish,closed,closed,,treatment,,,3/14/19 15:22,3/14/19 19:22,,0,https://maculardegeneration.net/?page_id=123,0,page,,0," showIfLoggedIn=\0\"" campaign=\""short-code\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",0.9799,macd
124,27,2/28/19 7:21,2/28/19 12:21,Macular Degeneration Research,,publish,closed,closed,,research,,,3/3/19 19:07,3/4/19 0:07,,0,https://maculardegeneration.net/?page_id=124,0,page,,0," showIfLoggedIn=\0\"" campaign=\""short-code\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",0.9691,macd
125,27,2/28/19 7:53,2/28/19 12:53,Living with Macular Degeneration,,publish,closed,closed,,living-coping,,,3/18/19 15:36,3/18/19 19:36,,0,https://maculardegeneration.net/?page_id=125,0,page,,0," showIfLoggedIn=\0\"" campaign=\""short-code\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",0.9818,macd
126,27,2/25/19 9:16,2/25/19 14:16,What is Myopic Macular Degeneration?,,publish,closed,closed,,myopic,,,3/13/19 11:16,3/13/19 15:16,,0,https://maculardegeneration.net/?page_id=126,0,page,,0," showIfLoggedIn=\0\"" campaign=\""short-code\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",0.9785,macd
127,27,2/21/19 9:24,2/21/19 14:24,Risk Factors for Macular Degeneration,,publish,closed,closed,,risk-factors,,,3/18/19 10:39,3/18/19 14:39,,0,https://maculardegeneration.net/?page_id=127,0,page,,0," showIfLoggedIn=\0\"" campaign=\""short-code\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",0.9827,macd
128,27,2/6/19 9:18,2/6/19 14:18,How Common is Macular Degeneration?,,publish,closed,closed,,statistics-epidemiology,,,5/13/19 14:04,5/13/19 18:04,,0,https://maculardegeneration.net/?page_id=128,0,page,,0," showIfLoggedIn=\0\"" campaign=\""short-code\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",0.9832,macd
129,27,2/12/19 15:05,2/12/19 20:05,Assembling a Team of Macular Degeneration Specialists,,publish,closed,closed,,specialists,,,6/4/19 17:07,6/4/19 21:07,,0,https://maculardegeneration.net/?page_id=129,0,page,,0," showIfLoggedIn=\0\"" campaign=\""short-code\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",0.9786,macd
130,27,2/12/19 15:02,2/12/19 20:02,Common Myths and Misconceptions of Macular Degeneration,,publish,closed,closed,,myths-misconceptions,,,3/18/19 10:39,3/18/19 14:39,,0,https://maculardegeneration.net/?page_id=130,0,page,,0," showIfLoggedIn=\0\"" campaign=\""short-code\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",0.9767,macd
131,27,2/27/19 8:43,2/27/19 13:43,Legally Blind: What Does it Mean?,,publish,closed,closed,,legally-blind,,,4/5/19 12:10,4/5/19 16:10,,0,https://maculardegeneration.net/?page_id=131,0,page,,0," showIfLoggedIn=\0\"" campaign=\""short-code\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",0.9771,macd
132,27,2/27/19 8:40,2/27/19 13:40,Glossary - Macular Degeneration Terms,,publish,closed,closed,,medical-terms,,,5/10/19 15:17,5/10/19 19:17,,0,https://maculardegeneration.net/?page_id=132,0,page,,0," showIfLoggedIn=\0\"" campaign=\""short-code\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",0.9901,macd
133,27,2/21/19 9:14,2/21/19 14:14,Blurry Central Vision,,publish,closed,closed,,blurry-central-vision,,,5/6/19 13:54,5/6/19 17:54,,0,https://maculardegeneration.net/?page_id=133,0,page,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",0.9747,macd
134,27,2/21/19 9:18,2/21/19 14:18,Difficulty Seeing in Low Light,,publish,closed,closed,,low-light-vision,,,5/24/19 11:42,5/24/19 15:42,,0,https://maculardegeneration.net/?page_id=134,0,page,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",0.9731,macd
135,27,2/21/19 9:20,2/21/19 14:20,Changes in Color Perception,,publish,closed,closed,,color-perception-changes,,,5/6/19 13:48,5/6/19 17:48,,0,https://maculardegeneration.net/?page_id=135,0,page,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",0.9704,macd
136,27,2/21/19 9:32,2/21/19 14:32,Impaired Depth Perception (Micropsia),,publish,closed,closed,,micropsia,,,8/5/19 10:24,8/5/19 14:24,,0,https://maculardegeneration.net/?page_id=136,0,page,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",0.9733,macd
137,27,2/6/19 10:54,2/6/19 15:54,Complications of Macular Degeneration,,publish,closed,closed,,complications,,,3/15/19 15:30,3/15/19 19:30,,0,https://maculardegeneration.net/?page_id=137,0,page,,0,NULL,NULL,macd
138,27,2/21/19 9:16,2/21/19 14:16,Depression and Macular Degeneration,,publish,closed,closed,,depression,,,4/28/19 15:43,4/28/19 19:43,,0,https://maculardegeneration.net/?page_id=138,0,page,,0," showIfLoggedIn=\0\"" campaign=\""short-code\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",0.9778,macd
139,27,2/21/19 9:40,2/21/19 14:40,What is an Optical Coherence Tomography (OCT)?,,publish,closed,closed,,optical-coherence-tomography,,,3/13/19 13:32,3/13/19 17:32,,0,https://maculardegeneration.net/?page_id=139,0,page,,0," showIfLoggedIn=\0\"" campaign=\""short-code\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",0.9741,macd
140,27,2/28/19 9:18,2/28/19 14:18,What is Angiography?,,publish,closed,closed,,angiography,,,3/13/19 13:30,3/13/19 17:30,,0,https://maculardegeneration.net/?page_id=140,0,page,,0," showIfLoggedIn=\0\"" campaign=\""short-code\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",0.9761,macd
141,27,2/27/19 8:57,2/27/19 13:57,What is Fundus Photography?,,publish,closed,closed,,fundus-photography,,,3/13/19 11:23,3/13/19 15:23,,0,https://maculardegeneration.net/?page_id=141,0,page,,0," showIfLoggedIn=\0\"" campaign=\""shortcode\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",0.9729,macd
142,27,2/27/19 9:07,2/27/19 14:07,Genetic Testing for Macular Degeneration,,publish,closed,closed,,genetic-testing,,,3/15/19 14:33,3/15/19 18:33,,0,https://maculardegeneration.net/?page_id=142,0,page,,0," showIfLoggedIn=\0\"" campaign=\""short-code\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",0.9759,macd
143,27,2/28/19 10:14,2/28/19 15:14,Treatment by Type of Macular Degeneration,,publish,closed,closed,,md-types,,,4/15/19 10:50,4/15/19 14:50,,123,https://maculardegeneration.net/?page_id=143,0,page,,0," showIfLoggedIn=\0\"" campaign=\""short-code\"" source=\""site\"" title=\""Sign up for emails from {{site-name}}:\""""",0.9827,macd
